"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	0.6849728	0.0019944	0.9323849	1.0273848	0.3847834	1.0042225	0.2702999	0.9652296	0.2124543	0.1132254	1.0996146	0.1563801	0.7748530	0.9271916	0.0603712	0.9226008	1.0851712	0.9740391	0.0327637	1.0577547	0.0000000	0.0045863	0.9244639	0.3222946	0.1693725	0.1456297	0.7859943	0.2328360	1.0262788	0.4968981	0.9384015	1.0750709	0.0354833	0.0000000	0.5951534	0.0569656	0.0000000	0.1045087	0.9893742	0.9368943	1.1097852	0.5478176	0.0000000	0.0241591	0.0300516	0.8966071	0.9320350	0.0000000	0.1532841	1.0009250
2	0.5284681	0.0000000	0.8372940	1.1442843	0.3981363	0.9819532	0.3755436	0.9125927	0.2364249	0.0208438	1.0060612	0.1844149	0.8849400	0.9659186	0.0523515	0.9457535	0.8896481	0.9784256	0.0796018	0.9669154	0.0271125	0.0192357	0.9366537	0.3309296	0.1761761	0.1248027	0.8447246	0.1781083	1.0523822	0.5442389	0.9234037	1.0290306	0.0825399	0.0000000	0.6209887	0.0629403	0.0000000	0.1155969	0.9924556	1.0274899	0.8931783	0.5160182	0.0404150	0.0317415	0.0588258	1.0432954	1.0661225	0.0204818	0.2021994	1.0347459
4	0.5635682	0.0000000	0.7579160	1.0630610	0.3764314	0.9677798	0.2924066	0.9199830	0.2167889	0.0597595	1.0125804	0.1578514	0.8611018	0.9159456	0.0966140	0.9344745	0.9572955	0.8997692	0.0545491	1.0111963	0.0000000	0.0139848	0.9604294	0.3340588	0.1671435	0.1274505	0.7889320	0.1886889	1.0827392	0.5222525	0.8752653	0.9983178	0.0730671	0.0000000	0.6118631	0.1159407	0.0204585	0.0692440	1.0029932	1.0664337	0.9745426	0.5730721	0.0954567	0.0664408	0.1201543	0.9911292	0.9867920	0.0107829	0.1514976	1.0441229
6	0.4768728	0.0000000	0.7699190	1.1056952	0.3558129	0.9773715	0.2789051	0.9487915	0.2720808	0.0414617	0.9891805	0.1788069	0.7996950	0.9304699	0.0580707	0.9031312	0.9363030	0.9120576	0.0823069	0.9882782	0.0507373	0.0000000	0.9655893	0.2995446	0.2030475	0.1405020	0.8188412	0.1692576	1.0533726	0.6368713	0.8684646	1.0452491	0.0881224	0.0070708	0.6168290	0.0801499	0.0000000	0.0955172	1.0309086	1.0395415	1.0366985	0.5558735	0.0325879	0.0573355	0.1415671	0.9879803	1.0346970	0.0000000	0.1336185	1.0669983
8	0.5705359	0.0000000	0.7766225	1.0699202	0.3307319	0.9967054	0.3327972	0.9707569	0.2085865	0.0715913	1.0377670	0.1076754	0.8466682	0.9087583	0.0420092	0.8924418	0.9222437	0.9124368	0.1109653	0.9692473	0.0000000	0.0155089	0.9624472	0.3352140	0.1709817	0.1365365	0.8039723	0.1669880	1.0383473	0.6434045	0.8916870	1.0551303	0.0660123	0.0036116	0.5849157	0.0651344	0.0000000	0.1092652	1.0358371	1.0127240	1.0290482	0.5508858	0.0000000	0.0538084	0.1175625	1.0128695	0.9887986	0.0320771	0.2092497	0.9872821
10	0.5383205	0.0000000	0.8298048	1.0809168	0.3998646	0.9647886	0.2902117	0.9915423	0.2208667	0.1141691	1.0135080	0.1714123	0.7900247	0.9093859	0.1026643	0.9260056	0.9398622	0.9501021	0.0677596	0.9499961	0.0000000	0.0175956	0.9784176	0.3091010	0.1961326	0.1484775	0.7928301	0.2024017	1.0115420	0.5986140	0.8721928	0.9889506	0.0407294	0.0717230	0.6049490	0.0541490	0.0000000	0.1058394	1.0008322	1.0367985	0.9558675	0.5491149	0.0550804	0.0493825	0.1510428	0.9567674	1.0680118	0.0000000	0.2199661	0.9766685

0	0.6758743	0.0254014	0.8985195	1.0706621	0.3366676	0.9716234	0.3265263	0.9097585	0.2325194	0.0560824	1.0817725	0.1449244	0.8218459	0.9302549	0.0497853	0.9176081	1.0210431	0.9922628	0.0587166	1.0906985	0.0117210	0.0230993	0.9842811	0.3374254	0.1981015	0.1721941	0.8337826	0.2015803	0.9543140	0.4515900	0.9635885	1.0711972	0.0427927	0.0116385	0.6731954	0.0747173	0.0323805	0.0937094	1.0142095	0.9689008	1.1175187	0.5937279	0.0427905	0.0000000	0.0131806	0.9008105	0.9239340	0.0160558	0.1866187	0.9799365
2	0.6027553	0.0000000	0.9707165	1.0113322	0.4222507	0.9760996	0.3914947	0.8980246	0.2057491	0.0811131	0.9671773	0.1837655	0.8817454	0.9462316	0.0384785	0.9770034	1.0481712	0.9731685	0.0208444	1.0754866	0.0073881	0.0314522	0.9973224	0.3195808	0.1396898	0.1580032	0.8177058	0.2284970	0.9684680	0.5225922	0.9289405	1.0406373	0.0775305	0.0066968	0.5239929	0.1091863	0.0000000	0.0760884	0.9475141	0.9420636	0.9004020	0.5885511	0.0133488	0.0221110	0.1001878	0.9640718	0.9582086	0.0000000	0.0910776	0.9595174
4	0.5824360	0.0124441	0.9662111	0.9785385	0.4727338	0.9449672	0.3928202	0.8632666	0.2142785	0.0607432	0.9282506	0.2110017	0.8644829	0.9396857	0.0453251	0.9243070	1.0451114	0.9395228	0.0380157	1.0854008	0.0509432	0.0526529	1.0362339	0.3822135	0.1430563	0.1262885	0.7863741	0.2600948	0.9209524	0.5485640	0.9510898	1.1043460	0.0827315	0.0115754	0.6152777	0.0510206	0.0023834	0.0796127	0.9046269	0.8957611	0.9163640	0.5784474	0.0145607	0.0000000	0.0279084	0.8724621	0.9569860	0.0000000	0.1331157	0.8956929
6	0.5733252	0.0084930	0.9239212	0.9805776	0.4838584	0.8414933	0.3876543	0.8556741	0.2439807	0.0241500	0.9421821	0.2336815	0.8626369	0.9266233	0.0714705	0.8969337	1.0030343	1.0357941	0.0158592	1.0780504	0.0053090	0.0069200	1.0324384	0.3161325	0.1892945	0.1275070	0.8205833	0.1930471	0.9300878	0.4816875	0.9448618	1.0602303	0.0548431	0.0407335	0.6104388	0.0718227	0.0072045	0.0979317	0.8839366	0.9186799	0.9167948	0.5646146	0.0387454	0.0271531	0.0179679	0.9166656	0.9701450	0.0000000	0.1537728	0.8577600
8	0.5610145	0.0000000	0.9746073	0.9438864	0.5012502	0.9056273	0.3708850	0.8548438	0.2657923	0.0445132	0.9511552	0.2406623	0.8155219	0.9141949	0.0580536	0.9701531	0.9836952	1.0111897	0.0594078	1.0892991	0.0250151	0.0022828	1.0779141	0.3291492	0.1587618	0.1141981	0.8133111	0.2127843	0.8940386	0.4976657	0.9564144	1.0489313	0.0269384	0.0000000	0.6016173	0.0600962	0.0000000	0.0816229	0.8800779	0.8153899	0.9105214	0.5408549	0.0000000	0.0321205	0.0350093	0.9191663	0.8787949	0.0000000	0.1361297	0.8793567
10	0.6016501	0.0000000	0.9180826	1.0207706	0.5202826	0.9254536	0.3830316	0.8620613	0.2150157	0.0825629	0.9900932	0.2408605	0.8529919	0.8889860	0.0980863	0.9313435	0.9443077	0.9542239	0.0268457	1.0746840	0.0000000	0.0023761	1.0057149	0.3367387	0.1758092	0.1488961	0.7701810	0.2335932	0.9401810	0.4712419	0.9393318	1.0037710	0.0599903	0.0046121	0.5848431	0.0682281	0.0274575	0.0545411	0.8408156	0.8471394	0.8919078	0.5690981	0.0358934	0.0000000	0.0371461	0.9793191	0.9294032	0.0000000	0.1541956	0.8908929

0	0.6921552	0.0107995	0.8755873	1.0545511	0.4095427	0.9824047	0.2881461	0.9641360	0.2576077	0.0912604	1.1164330	0.1008500	0.8316254	0.9025560	0.0933713	0.8970636	1.0532014	1.0182540	0.0386736	1.0849060	0.0000000	0.0180412	0.9566821	0.3099042	0.1806322	0.1591066	0.8379719	0.2467232	0.9588329	0.4969352	0.9665185	1.0841760	0.0444477	0.0220299	0.5990966	0.0418975	0.0000000	0.1016849	0.9815419	0.9805485	1.1189192	0.5577493	0.0592841	0.0264887	0.0703632	0.9118940	0.9039115	0.0390738	0.1021838	0.9646993
2	0.5921416	0.0000000	0.9973448	0.9532034	0.3624773	0.9623477	0.2988732	0.8351205	0.2492119	0.0616930	1.0558124	0.2220142	0.8808589	0.9359832	0.0936830	0.9513405	1.1059921	0.9357878	0.0674366	0.9382473	0.0561357	0.0395038	0.9476577	0.3319196	0.1121029	0.1102414	0.8060560	0.2802057	0.8941764	0.5188679	0.9068425	0.9752756	0.0309810	0.0000000	0.6464047	0.0000000	0.0000000	0.0551619	0.9865315	0.9213694	0.9513567	0.5587655	0.0000000	0.0167635	0.0373121	0.8984673	1.0125365	0.0064383	0.1440128	0.9483233
4	0.5683887	0.0337640	0.9506081	0.9365016	0.3802067	1.0104410	0.2920636	0.8102196	0.2712606	0.0339883	1.0029314	0.2208165	0.8997687	0.9636666	0.0642546	0.9868547	1.0961299	0.9778337	0.0491957	0.9591750	0.0477518	0.0722698	0.9930277	0.3737600	0.0965139	0.1739787	0.7801105	0.1815581	0.9313023	0.5745837	0.8630773	1.0187764	0.0271545	0.0265531	0.6513398	0.0643766	0.0255961	0.1101554	0.9776647	0.9154543	0.9798594	0.6073760	0.0582147	0.0523978	0.0315079	0.9355664	0.9354164	0.0190953	0.1178167	0.9315768
6	0.5857523	0.0000000	0.9405456	0.8988767	0.3591882	0.9546582	0.3067901	0.8070073	0.2187322	0.0470954	0.9860067	0.2576965	0.8334207	0.9766423	0.1102804	0.9247967	1.0881603	0.9617152	0.0482869	0.9677333	0.0147435	0.0370368	1.0177388	0.3526628	0.1543593	0.1474336	0.7846920	0.2886312	0.9156141	0.6305522	0.8742064	0.9978245	0.0472044	0.0000000	0.6757183	0.0403986	0.0331602	0.0699074	0.9561121	0.9597222	1.0096564	0.5781252	0.0177857	0.0326893	0.0000000	0.8138365	0.9052120	0.0000000	0.1435649	0.9011578
8	0.6043772	0.0121622	0.9800885	0.9280623	0.3599656	0.9364959	0.3772031	0.8327196	0.2172024	0.0359546	0.9592621	0.1686678	0.8381592	0.9614605	0.0476676	1.0003588	1.0423386	0.9076853	0.1008329	0.9679691	0.0401720	0.0586343	0.9726052	0.3550811	0.1111897	0.1503965	0.8289683	0.2625784	0.9108444	0.6047865	0.9035305	0.9812552	0.0419565	0.0482521	0.7110031	0.0450572	0.0000000	0.1109851	0.9581166	0.9550072	0.9166386	0.5992582	0.0562675	0.0581687	0.0223387	0.7942245	0.8858549	0.0231316	0.1320378	0.9237854
