"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50

0	0.0480960	0.9928043	1.0427246	0.8110947	0.0669893	0.2881048	0.0565219	0.2068918	0.0359795	0.5374415	1.1306884	0.6635087	0.8234515	0.0259563	0.0506059	0.8517630	0.9494531	0.9440634	0.0255414	1.0646770	0.0551424	1.0535680	0.9693623	0.9589127	0.3172642	0.9707487	0.7213082	0.5482042	0.9752975	0.0279924	0.7808738	0.3766270	1.0289480	0.2351064	0.2390031	0.0060100	0.0000000	1.0221830	0.9664601	0.0022083	0.0151243	1.1251717	0.0687803	0.2108902	0.8289249	1.0036839	0.1294306	0.9533112	0.0409936	0.2655714
2	0.0000000	1.0177765	1.0855708	0.7371241	0.0000000	0.2739450	0.0638643	0.1948348	0.0488755	0.6494719	0.9128461	0.6205039	0.9574077	0.0679555	0.0486250	0.9460384	0.8766887	0.8432822	0.0590899	0.9993330	0.0825521	1.0549580	0.8481762	0.9090127	0.3893619	0.9206578	0.7739897	0.2272410	0.8907497	0.0000000	0.7047425	0.3601535	1.0226932	0.2195323	0.3611581	0.0755028	0.0401172	0.9756015	1.0449688	0.0236182	0.0050304	0.9684667	0.1583221	0.1829469	0.7323369	0.9788008	0.1198483	0.9989877	0.0444038	0.2160219
4	0.0000000	0.9794289	1.0400728	0.7223655	0.0433939	0.2688727	0.0238787	0.1830472	0.0345601	0.5942475	0.9821486	0.6135670	0.9899157	0.0585920	0.0658860	0.8992480	0.9260407	0.8536963	0.0380096	1.0297282	0.0580765	1.0905253	0.7679232	0.9065657	0.3437069	0.8975245	0.8115159	0.2674169	0.9076374	0.0455737	0.7380401	0.3593642	0.9738077	0.1935762	0.3977193	0.0609349	0.0246097	0.9570587	1.0637604	0.0702518	0.0349391	0.9222337	0.1465100	0.1467118	0.7414857	0.9945283	0.0945388	0.9674014	0.0367821	0.2305457
6	0.0084038	0.9687659	1.0361243	0.7434374	0.0160683	0.2751991	0.0496556	0.2076954	0.0379725	0.6832443	0.9786635	0.5721773	0.9921749	0.0106309	0.0549736	0.8744462	0.8978505	0.8475966	0.0000000	0.9680909	0.0441545	0.9812255	0.7702101	0.8949390	0.3496687	0.8846733	0.7474042	0.3079122	0.8745992	0.0000000	0.6600701	0.3655885	0.9762690	0.2506642	0.3471311	0.0431991	0.0270033	0.9958035	1.0676860	0.0247522	0.0000000	0.9191001	0.1228221	0.2032478	0.7121762	0.9805207	0.0721333	0.9328256	0.0000000	0.2196766
8	0.0512156	0.9846346	1.0039209	0.7219066	0.0131383	0.3159221	0.0000000	0.1813750	0.0568526	0.6019736	0.9524081	0.5871750	0.9470809	0.0505844	0.0551409	0.8232262	0.9146924	0.8556894	0.0016510	0.9995806	0.0259762	0.9826064	0.7428411	0.8935465	0.3791922	0.8764267	0.7472885	0.3061860	0.9394339	0.0493792	0.6616276	0.3788549	0.9948524	0.2171895	0.3372786	0.0436849	0.0000000	1.0094053	1.0821736	0.0624228	0.0116072	0.9450640	0.1504964	0.1541291	0.7513006	0.9638087	0.0687044	1.0036966	0.0750578	0.1948165
10	0.0000000	0.9836601	1.0049362	0.7192106	0.0311478	0.2443513	0.0036565	0.1623841	0.0911008	0.5673112	1.0095196	0.5896482	0.9963956	0.0765027	0.0220868	0.8700249	0.8651338	0.9169132	0.0129316	1.0285047	0.0524535	1.0293121	0.8100165	0.9191824	0.3135434	0.8461777	0.7072953	0.2714854	0.9766684	0.0000000	0.7171694	0.4123394	0.9789492	0.1643242	0.3063615	0.0720349	0.0034271	1.0042602	1.0439908	0.0224408	0.0000000	0.9780037	0.1452514	0.1986055	0.7053608	0.9797075	0.1004704	1.0612480	0.0074322	0.1688901

0	0.0261639	0.9941785	1.0969122	0.8460905	0.0409768	0.3122786	0.0335310	0.1625050	0.0622319	0.5096718	1.0978661	0.6527649	0.8588415	0.0465602	0.0000000	0.8680315	0.9076252	0.9471979	0.0000000	1.0735130	0.0000000	1.0366822	0.9787901	0.9695666	0.2969477	0.9566211	0.7122273	0.5822759	0.9581043	0.0388887	0.8050993	0.4265112	1.0650194	0.2070894	0.2699592	0.0750386	0.0774326	1.0031714	1.0036170	0.0372657	0.0656575	1.0779709	0.1568437	0.2256476	0.8168406	1.0487672	0.0674907	0.9825467	0.0432999	0.2502894
2	0.0378557	0.9732451	0.9023672	0.8170793	0.0435720	0.3260360	0.0406070	0.2156467	0.0230082	0.5849501	1.0718371	0.7035694	0.9625546	0.0453760	0.0582348	0.8687276	1.0426424	0.9030412	0.0000000	0.9706317	0.0726620	1.0083059	0.9582740	0.8275721	0.3701312	0.9061725	0.6738798	0.2219949	1.0153689	0.0535327	0.7363498	0.3837884	1.1240843	0.2543460	0.2781724	0.0603620	0.0258051	0.9497822	0.9801594	0.0457756	0.0234351	1.0285280	0.1401441	0.2071601	0.7465505	1.0649196	0.1204369	1.0052674	0.0506153	0.2469795
